Year,Count,Country
1890,248300,United States
1900,237200,United States
1910,265700,United States
1920,244400,United States
1930,332400,United States
1940,334000,United States
1950,343400,United States
1960,508700,United States
1970,551700,United States
1980,827300,United States
1990,1420400,United States
1901,106600,Canada
1911,113800,Canada
1921,120700,Canada
1931,132900,Canada
1941,160100,Canada
1951,165600,Canada
1961,220100,Canada
1971,312800,Canada
1981,491500,Canada
1991,1084100,Canada
